author|0|body_xml
duke-81|2013/05/20 16:35:42|какое имя и пароль
iabbliz|2013/05/20 16:35:58|давай подо мной
duke-81|2013/05/20 16:36:02|давай
duke-81|2013/05/20 16:36:04|пароль какой
iabbliz|2013/05/20 16:36:42|Раздолье (Иванов)
2113
iabbliz|2013/05/20 16:36:58|теперь точно убежал
duke-81|2013/05/20 16:37:10|нетЙ!!!
iabbliz|2013/05/20 16:37:15|получилось?
duke-81|2013/05/20 16:37:24|нет
duke-81|2013/05/20 16:37:26|не пускает!
duke-81|2013/05/20 16:37:30|2113
duke-81|2013/05/20 16:37:37|не подходит к Раздолье (Иванов)
iabbliz|2013/05/20 16:39:21|сек
iabbliz|2013/05/20 16:42:19|пробуй
iabbliz|2013/05/20 16:42:42|убежал
iabbliz|2013/05/21 04:35:38|Денис на хранилище какой пароль Администратора?
iabbliz|2013/05/21 04:35:55|доступ к старому хранилища надо отключить чтобы не ломился никто туда
duke-81|2013/05/21 05:24:11|12345
iabbliz|2013/05/21 05:24:18|все норм разобрались
duke-81|2013/05/21 05:24:50|ток на новое цф надо накатить
duke-81|2013/05/21 05:24:57|мы из атс создали
iabbliz|2013/05/21 05:25:01|<quote author="duke-81" authorname="Денис Карякин" conversation="duke-81" guid="xf4c1819067bcc67b543e28088cf5384ba4d4ad484bbe44062918e9a8cefe3012" timestamp="1369113900"><legacyquote>[9:25:00] Денис Карякин: </legacyquote>ток на новое цф надо накатить<legacyquote>

&lt;&lt;&lt; </legacyquote></quote>не отличается
iabbliz|2013/05/21 05:25:03|уже проверил
duke-81|2013/05/21 05:25:06|)))
duke-81|2013/05/21 05:25:09|чудеса
iabbliz|2013/05/21 05:25:13|почему?=)
iabbliz|2013/05/21 05:25:23|я ж снимал cf  с раб. базы
duke-81|2013/05/21 05:25:24|ну чот столько этот цф делали
duke-81|2013/05/21 05:25:27|с таким трудом
duke-81|2013/05/21 05:25:32|понял)
duke-81|2013/05/21 05:38:51|а под иарз мне нельзя заходить? там ктото еще работает?
iabbliz|2013/05/21 05:38:56|нельзя
iabbliz|2013/05/21 05:38:59|я там работаю
iabbliz|2013/05/21 05:39:00|=)
iabbliz|2013/05/21 05:39:03|это мой пользователь
